Node_ID,Node_Name,Degree,Community,Betweenness_Centrality
2475,The Amazing Spider-Man,157,1,13844310.13881648
48397,Bridge of Spies,156,15,15244491.599292807
12408,Hulk,156,1,13371944.329606283
18118,"I, Robot",156,17,13544002.584350675
35729,Collateral,155,1,14033896.726541517
30336,The SpongeBob Movie: Sponge Out of Water,155,14,12665170.262699394
30903,Battle: Los Angeles,154,21,12141633.556981027
14780,Clash of the Titans,154,2,12593753.018626189
20449,Point Break,154,31,14332836.674639862
8115,Terminator 3: Rise of the Machines,154,9,10616527.040210843
44503,Taken 3,154,30,14578062.505946452
52169,L.A. Confidential,154,9,16961235.70583874
30279,xXx,154,18,12229184.314567382
30692,AVP: Alien vs. Predator,153,2,10631380.912490454
36060,Man on Fire,153,9,14798539.73283551
38674,Forrest Gump,153,1,11408842.338149289
72894,Pitch Perfect,153,5,12358777.808269024
35086,Gone Girl,152,12,10991208.759215375
38050,American Sniper,152,16,12263748.956225451
37899,The Great Raid,152,24,13578618.541915396
10516,Angels & Demons,152,38,14300645.987929694
8318,Interstellar,152,7,12023921.293678146
18363,The Martian,152,2,13672543.5942947
39449,Kill Bill: Vol. 2,152,34,13758446.23743106
6798,Edge of Tomorrow,151,2,12524456.459582413
60603,Paul Blart: Mall Cop,150,11,10039427.684120655
58731,Pitch Perfect 2,150,5,12578515.907524517
36551,Joy,150,11,12512828.641432984
102978,Obvious Child,149,37,14554230.0886113
18899,Public Enemies,149,1,13509109.332099853
78335,The Butterfly Effect,148,17,11018433.40182964
19633,End of Days,147,17,14458767.487287564
83538,American History X,147,10,10543995.755382739
87102,Thank You for Smoking,147,17,11131448.603795102
26032,Road to Perdition,146,1,13717471.269526903
4775,Furious 7,146,25,11890885.907805659
7844,The Polar Express,146,1,8648004.726559142
74584,American Beauty,146,1,10956438.329144334
53116,Hoffa,145,9,11929813.71146702
36394,Paycheck,145,17,12086015.500855109
48260,JFK,144,9,16108121.540970102
7078,Iron Man 2,144,25,14426334.647797553
4943,X-Men: Days of Future Past,144,22,14513321.871879317
17792,Ender's Game,144,21,11584844.861470025
16954,The Patriot,144,17,11830820.023539342
54895,Doomsday,143,2,10861365.351763625
17483,Allegiant,143,25,11138057.03334113
16787,Fantastic Four,143,17,10716586.232557388
61584,Scooby-Doo 2: Monsters Unleashed,143,17,11624167.007111853
9856,Charlie and the Chocolate Factory,143,2,13716707.779754277
13114,The Revenant,142,17,11604555.103962816
1299,Avengers: Age of Ultron,142,2,14287672.929430602
40726,Black Mass,142,11,11343952.06249736
72644,Let's Be Cops,142,5,11814651.456561558
24089,Ocean's Eleven,142,1,10372130.689477338
31328,The Dilemma,141,38,11897193.784337161
11156,Troy,141,2,12468455.105489267
44251,The Bone Collector,141,22,11838148.67920763
26401,Space Jam,140,14,10770710.458747827
14000,Australia,140,24,11341586.732364513
34383,Everest,140,2,14878754.950545667
53390,Concussion,140,25,12466412.923272401
54708,The Punisher,140,9,11622722.02610675
82796,Swimfan,140,44,11463576.815185355
15796,Elysium,140,17,11754863.815613074
60508,Mindhunters,140,2,12242367.891405262
27893,2 Fast 2 Furious,139,19,9751070.510348005
61771,Cloverfield,139,5,9386383.436337065
59317,Dawn of the Dead,139,3,10887637.054074498
27808,Hidalgo,139,1,10426208.906932121
79486,Step Up,139,42,12194973.370918633
66746,The Silence of the Lambs,139,15,12001246.819490738
15261,Mission: Impossible II,139,24,13640310.25364986
36330,The Jackal,139,22,11108905.338451916
7650,Tomorrowland,139,17,9811603.360094963
22299,The Departed,139,15,12624461.257474782
44455,3:10 to Yuma,138,13,9633090.448536396
102318,Casablanca,138,28,12579926.229682002
61270,The Passion of the Christ,138,35,11147619.60093537
55615,The Grand Budapest Hotel,138,31,15301407.37992288
21935,Percy Jackson & the Olympians: The Lightning Thief,138,17,14042451.693584526
51252,Creed,137,35,11568585.437102986
65673,Jay and Silent Bob Strike Back,137,10,12261186.540042747
18516,Gladiator,137,2,14594573.192209437
22019,Men in Black,137,1,10295772.030991595
5502,Star Trek Beyond,137,17,9404516.380117513
25708,Deep Impact,137,1,12150741.34391741
54789,Return of the Jedi,136,20,11928458.3707361
24018,Air Force One,136,9,12291505.805311495
63214,EuroTrip,136,18,9979151.835834652
78188,"Dude, Where’s My Car?",135,1,9077733.307810817
21602,Rise of the Planet of the Apes,135,17,10920392.823791303
35415,The Italian Job,135,1,11346437.499431027
56221,Se7en,135,9,12897486.57470843
2647,The Hobbit: The Desolation of Smaug,135,0,6579128.441749561
36893,Reign of Fire,135,2,10537690.39047846
95764,It's a Wonderful Life,134,28,11318090.974790784
29549,Flight of the Phoenix,134,4,11570375.14152022
45003,Scary Movie 3,134,17,13026044.684623059
45235,Scary Movie 2,134,17,10415478.723811857
43834,Zoolander 2,134,15,11813310.02414077
47207,The Sixth Sense,134,15,9800641.343045158
38323,The Internship,133,5,11499315.355530914
35546,Maze Runner: The Scorch Trials,133,0,9079224.439152684
32040,Escape Plan,133,21,10130634.114862215
31174,Dracula Untold,133,2,12402305.656140808
37984,Deadpool,132,17,9660122.001736874
76213,The Big Lebowski,132,1,12052350.349352377
14910,The Bourne Legacy,132,15,11201736.240125958
17040,Ocean's Twelve,132,1,9946105.511905743
48138,Sin City,132,10,14524250.224356476
20548,In the Heart of the Sea,132,2,9711754.336884128
3865,Iron Man 3,132,25,12598792.390957331
14170,Night at the Museum: Secret of the Tomb,132,17,11529260.052204326
74617,The King's Speech,131,2,11517974.352925064
32760,Saving Private Ryan,131,2,12993034.232567001
26171,Eagle Eye,131,17,11191709.635235421
78055,The Godfather: Part II,131,35,10486499.058993768
33155,Apollo 13,131,38,10333529.163383937
10415,Mad Max: Fury Road,131,24,12046549.322441868
51508,John Q,130,3,11174243.17503937
34254,Elektra,130,17,9532606.449191827
18223,Kingdom of Heaven,130,2,10626077.484481411
17323,300: Rise of an Empire,130,21,9500357.446002036
25474,The Expendables,130,21,14730037.242610445
81284,Dead Man Walking,130,15,11014123.252276048
49830,Amélie,130,30,13038245.723136121
49440,The Musketeer,129,31,10562188.423790414
28188,Independence Day,129,1,9683373.265731629
21703,A Good Day to Die Hard,129,2,12168478.82048642
30109,The Village,129,15,10284051.663142094
47437,Lucy,129,30,14597238.717259796
17866,Live Free or Die Hard,129,1,10763576.482998328
29459,Monkeybone,128,14,10009317.980243003
57938,Eight Legged Freaks,128,17,9041084.355597887
26990,The Brothers Grimm,128,2,10175127.990004545
